dttm,lobby_id,ticket_num,type_of_passage
2020-02-01T05:03:32,2043,270075252,0
2020-02-01T05:19:41,33,2741387,0
2020-02-01T05:20:00,33,26106023,0
2020-02-01T05:20:09,33,3986293244,0
2020-02-01T05:20:19,33,8796302,0
2020-02-01T05:20:26,33,26422666,0
2020-02-01T05:20:43,33,8157511,0
2020-02-01T05:20:34,33,5615713,0
2020-02-01T05:20:39,33,3951708621,0
2020-02-01T05:20:51,33,5541078,0
2020-02-01T05:22:30,358,9461086,0
2020-02-01T05:40:15,258,813396,0
2020-02-01T05:40:56,33,6512347,0
2020-02-01T05:40:22,2074,26659198,0
2020-02-01T05:40:59,258,1619051490,0
2020-02-01T05:40:43,2074,15130531,0
2020-02-01T05:41:08,33,13881173,0
2020-02-01T05:39:37,141,19364915,0
2020-02-01T05:39:37,141,21953379,0
2020-02-01T05:29:31,116,2675276,0
2020-02-01T05:29:17,143,3111837088,0
2020-02-01T05:29:23,272,14119381,0
2020-02-01T05:29:35,143,3951241775,0
2020-02-01T05:29:34,272,20836643,0
2020-02-01T05:29:03,410,4083465,0
2020-02-01T05:29:33,69,21954094,0
2020-02-01T05:28:45,410,16820866,0
2020-02-01T05:29:17,69,5955321,0
2020-02-01T05:29:28,410,10635198,0
2020-02-01T05:29:27,69,12446863,0
2020-02-01T05:29:22,69,19167145,0
2020-02-01T05:29:38,69,18681352,0
2020-02-01T05:29:49,69,19998544,0
2020-02-01T05:29:41,112,16310931,0
2020-02-01T05:29:03,119,22805244,0
2020-02-01T05:29:45,112,16759252,0
2020-02-01T05:29:14,119,16687273,0
2020-02-01T05:29:26,119,17283094,0
2020-02-01T05:29:07,301,18511193,0
2020-02-01T05:29:31,119,3097088759,0
2020-02-01T05:29:39,119,3097088759,0
2020-02-01T05:29:14,301,18511193,0
2020-02-01T05:29:34,234,24272692,0
2020-02-01T05:29:24,301,14139676,0
2020-02-01T05:29:53,234,14892969,0
2020-02-01T05:29:42,301,14378656,0
2020-02-01T05:29:46,234,22083227,0
2020-02-01T05:29:04,100,14998335,0
2020-02-01T05:29:51,234,28277278,0
2020-02-01T05:29:35,26,28310567,0
2020-02-01T05:28:59,100,1470020378,0
2020-02-01T05:29:54,234,27317110,0
2020-02-01T05:29:06,100,23875446,0
2020-02-01T05:29:59,234,18795802,0
2020-02-01T05:29:31,26,18913045,0
2020-02-01T05:29:29,26,23120513,0
2020-02-01T05:29:53,234,29588985,0
2020-02-01T05:29:11,100,1470020617,0
2020-02-01T05:30:00,234,3951688873,0
2020-02-01T05:29:34,26,6985266,0
2020-02-01T05:29:59,234,3941134740,0
2020-02-01T05:29:34,26,11027590,0
2020-02-01T05:29:52,234,1618019718,0
2020-02-01T05:29:38,26,7606887,0
2020-02-01T05:28:53,357,11175819,0
2020-02-01T05:29:35,2101,27066505,0
2020-02-01T05:29:05,357,22846774,0
2020-02-01T05:29:43,26,26957118,0
2020-02-01T05:29:38,2101,29259597,0
