"PL_ID";"VESTIBUL";"STATION";"LINE"
20;"Б.Рокоссовс-го-С";"Б.Рокоссовского";"СОКОЛЬНИЧЕСКАЯ"
21;"Б.Рокоссовс-го-Ю";"Б.Рокоссовского";"СОКОЛЬНИЧЕСКАЯ"
23;"Черкизовская-С";"Черкизовская";"СОКОЛЬНИЧЕСКАЯ"
24;"Черкизовская-Ю";"Черкизовская";"СОКОЛЬНИЧЕСКАЯ"
26;"Преображенская-С";"Преображенск. пл";"СОКОЛЬНИЧЕСКАЯ"
27;"Преображенская-Ю";"Преображенск. пл";"СОКОЛЬНИЧЕСКАЯ"
29;"Сокольники";"Сокольники";"СОКОЛЬНИЧЕСКАЯ"
31;"Красносельская";"Красносельская";"СОКОЛЬНИЧЕСКАЯ"
33;"Комсомольск.Сок";"Комсомольск(Сок)";"СОКОЛЬНИЧЕСКАЯ"
35;"Красные ворота-С";"Красные ворота";"СОКОЛЬНИЧЕСКАЯ"
36;"Красные ворота-Ю";"Красные ворота";"СОКОЛЬНИЧЕСКАЯ"
809;"Красные воротаПА";"Красные ворота";"СОКОЛЬНИЧЕСКАЯ"
38;"Чистые пруды";"Чистые пруды";"СОКОЛЬНИЧЕСКАЯ"
40;"Лубянка-С";"Лубянка";"СОКОЛЬНИЧЕСКАЯ"
41;"Лубянка-Ю";"Лубянка";"СОКОЛЬНИЧЕСКАЯ"
1000;"Административный";"Административная";"КОЛЬЦЕВАЯ"
43;"Охотный ряд-С";"Охотный ряд";"СОКОЛЬНИЧЕСКАЯ"
44;"Охотный ряд-Ю";"Охотный ряд";"СОКОЛЬНИЧЕСКАЯ"
47;"Кропоткинская-С";"Кропоткинская";"СОКОЛЬНИЧЕСКАЯ"
48;"Кропоткинская-Ю";"Кропоткинская";"СОКОЛЬНИЧЕСКАЯ"
589;"Парк культуры Р";"Парк культуры Р";"СОКОЛЬНИЧЕСКАЯ"
52;"Фрунзенская";"Фрунзенская";"СОКОЛЬНИЧЕСКАЯ"
54;"Спортивная-С";"Спортивная";"СОКОЛЬНИЧЕСКАЯ"
55;"Спортивная-Ю";"Спортивная";"СОКОЛЬНИЧЕСКАЯ"
57;"Вор. горы-Юверхн";"Воробьёвы горы";"СОКОЛЬНИЧЕСКАЯ"
58;"Вор. горы-Юнижн";"Воробьёвы горы";"СОКОЛЬНИЧЕСКАЯ"
1003;"Вор. горы-С";"Воробьёвы горы";"СОКОЛЬНИЧЕСКАЯ"
60;"Университет-Сев.";"Университет";"СОКОЛЬНИЧЕСКАЯ"
61;"Университет-Южн.";"Университет";"СОКОЛЬНИЧЕСКАЯ"
63;"Пр-т Вернадск.-С";"Пр-т Вернадского";"СОКОЛЬНИЧЕСКАЯ"
64;"Пр-т Вернадск.-Ю";"Пр-т Вернадского";"СОКОЛЬНИЧЕСКАЯ"
66;"Юго-западная-С";"Юго-западная";"СОКОЛЬНИЧЕСКАЯ"
67;"Юго-западная-Ю";"Юго-западная";"СОКОЛЬНИЧЕСКАЯ"
69;"Красногвард.-С";"Красногвардейск.";"ЗАМОСКВОРЕЦКАЯ"
70;"Красногвард.-Ю";"Красногвардейск.";"ЗАМОСКВОРЕЦКАЯ"
72;"Домодедовск.-С";"Домодедовская";"ЗАМОСКВОРЕЦКАЯ"
73;"Домодедовск.-Ю";"Домодедовская";"ЗАМОСКВОРЕЦКАЯ"
75;"Орехово-С";"Орехово";"ЗАМОСКВОРЕЦКАЯ"
76;"Орехово-Ю";"Орехово";"ЗАМОСКВОРЕЦКАЯ"
78;"Царицыно-С";"Царицыно";"ЗАМОСКВОРЕЦКАЯ"
79;"Царицыно-Ю";"Царицыно";"ЗАМОСКВОРЕЦКАЯ"
81;"Кантемировская-С";"Кантемировская";"ЗАМОСКВОРЕЦКАЯ"
82;"Кантемировская-Ю";"Кантемировская";"ЗАМОСКВОРЕЦКАЯ"
118;"Каширская-С";"Каширская";"ЗАМОСКВОРЕЦКАЯ"
119;"Каширская-Ю";"Каширская";"ЗАМОСКВОРЕЦКАЯ"
2441;"Каховская-С";"Каховская";"БКЛ"
121;"Каховская-С";"Каховская";"КАХОВСКАЯ"
2442;"Каховская-Ю";"Каховская";"БКЛ"
122;"Каховская-Ю";"Каховская";"КАХОВСКАЯ"
124;"Варшавская-С";"Варшавская";"КАХОВСКАЯ"
125;"Варшавская-Ю";"Варшавская";"КАХОВСКАЯ"
84;"Коломенская-С";"Коломенская";"ЗАМОСКВОРЕЦКАЯ"
85;"Коломенская-Ю";"Коломенская";"ЗАМОСКВОРЕЦКАЯ"
87;"Автозаводская-С";"Автозаводская";"ЗАМОСКВОРЕЦКАЯ"
88;"Автозаводская-Ю";"Автозаводская";"ЗАМОСКВОРЕЦКАЯ"
90;"Павелецкая Р";"Павелецкая Р";"ЗАМОСКВОРЕЦКАЯ"
92;"Новокузнецкая";"Новокузнецкая";"ЗАМОСКВОРЕЦКАЯ"
2134;"Технопарк(Первый";"Технопарк";"ЗАМОСКВОРЕЦКАЯ"
2135;"Технопарк(Второй";"Технопарк";"ЗАМОСКВОРЕЦКАЯ"
2270;"Технопарк(АПБ)";"Технопарк";"ЗАМОСКВОРЕЦКАЯ"
2212;"Ховрино (Север)";"Ховрино";"ЗАМОСКВОРЕЦКАЯ"
2213;"Ховрино (Юг)";"Ховрино";"ЗАМОСКВОРЕЦКАЯ"
2248;"Ховрино (АПБ)";"Ховрино";"ЗАМОСКВОРЕЦКАЯ"
2434;"Ховрино (АПБ2)";"Ховрино";"ЗАМОСКВОРЕЦКАЯ"
96;"Маяковская-Ю";"Маяковская";"ЗАМОСКВОРЕЦКАЯ"
2020;"Маяковская-С";"Маяковская";"ЗАМОСКВОРЕЦКАЯ"
98;"Белорусская Р";"Белорусская Р";"ЗАМОСКВОРЕЦКАЯ"
100;"Динамо-С";"Динамо";"ЗАМОСКВОРЕЦКАЯ"
101;"Динамо-Ю";"Динамо";"ЗАМОСКВОРЕЦКАЯ"
103;"Аэропорт-Север.";"Аэропорт";"ЗАМОСКВОРЕЦКАЯ"
104;"Аэропорт-Южный";"Аэропорт";"ЗАМОСКВОРЕЦКАЯ"
106;"Сокол-С-З";"Сокол";"ЗАМОСКВОРЕЦКАЯ"
107;"Сокол-Ю-В";"Сокол";"ЗАМОСКВОРЕЦКАЯ"
109;"Войковская-С";"Войковская";"ЗАМОСКВОРЕЦКАЯ"
110;"Войковская-Ю";"Войковская";"ЗАМОСКВОРЕЦКАЯ"
112;"Водный Стадион-С";"Водный Стадион";"ЗАМОСКВОРЕЦКАЯ"
113;"Водный Стадион-Ю";"Водный Стадион";"ЗАМОСКВОРЕЦКАЯ"
115;"Речной вокзал-С";"Речной вокзал";"ЗАМОСКВОРЕЦКАЯ"
116;"Речной вокзал-Ю";"Речной вокзал";"ЗАМОСКВОРЕЦКАЯ"
127;"Киевская Город";"Киевская Г/З";"АРБАТСК-ПОКРОВСК"
128;"резерв";"Киевская Г/З";"АРБАТСК-ПОКРОВСК"
130;"Смоленская Г/З";"Смоленская Г/З";"АРБАТСК-ПОКРОВСК"
132;"Арбатская Г/З";"Арбатская Г/З";"АРБАТСК-ПОКРОВСК"
134;"Пл. революции Об";"Пл. революции";"АРБАТСК-ПОКРОВСК"
135;"Пл. революции Ни";"Пл. революции";"АРБАТСК-ПОКРОВСК"
1002;"Курская Р";"Курская Р";"АРБАТСК-ПОКРОВСК"
139;"Бауманская";"Бауманская";"АРБАТСК-ПОКРОВСК"
141;"Электрозаводская";"Электрозаводская";"АРБАТСК-ПОКРОВСК"
143;"Семёновская";"Семёновская";"АРБАТСК-ПОКРОВСК"
145;"Партизанская";"Партизанская";"АРБАТСК-ПОКРОВСК"
147;"Измайловская-В";"Измайловская";"АРБАТСК-ПОКРОВСК"
148;"Измайловская-З";"Измайловская";"АРБАТСК-ПОКРОВСК"
150;"Первомайская-С";"Первомайская";"АРБАТСК-ПОКРОВСК"
151;"Первомайская-Ю";"Первомайская";"АРБАТСК-ПОКРОВСК"
153;"Щёлковская-С";"Щёлковская";"АРБАТСК-ПОКРОВСК"
154;"Щёлковская-Ю";"Щёлковская";"АРБАТСК-ПОКРОВСК"
156;"Александр.сад НА";"Александр. сад";"ФИЛЁВСКАЯ"
157;"Александр.сад";"Александр. сад";"ФИЛЁВСКАЯ"
159;"Арбатская М/З";"Арбатская М/З";"ФИЛЁВСКАЯ"
161;"Смоленская М/З";"Смоленская М/З";"ФИЛЁВСКАЯ"
2249;"Беломорская";"Беломорская";"ЗАМОСКВОРЕЦКАЯ"
164;"Студенческая";"Студенческая";"ФИЛЁВСКАЯ"
166;"Кутузовская-С";"Кутузовская";"ФИЛЁВСКАЯ"
167;"Кутузовская-Ю";"Кутузовская";"ФИЛЁВСКАЯ"
2443;"Кутузовская-П";"Кутузовская";"ФИЛЁВСКАЯ"
169;"Фили Г/З";"Фили";"ФИЛЁВСКАЯ"
170;"Фили Ж.Д./Вост.";"Фили";"ФИЛЁВСКАЯ"
172;"Багратионовск.-З";"Багратионовская";"ФИЛЁВСКАЯ"
173;"Багратионовск.-В";"Багратионовская";"ФИЛЁВСКАЯ"
175;"Филёвский парк-З";"Филёвский парк";"ФИЛЁВСКАЯ"
176;"Филёвский парк-В";"Филёвский парк";"ФИЛЁВСКАЯ"
178;"Пионерская-З";"Пионерская";"ФИЛЁВСКАЯ"
179;"Пионерская-В";"Пионерская";"ФИЛЁВСКАЯ"
181;"Кунцевская-З";"Кунцевская";"ФИЛЁВСКАЯ"
182;"Кунцевская-В";"Кунцевская";"ФИЛЁВСКАЯ"
184;"Молодёжная-З";"Молодёжная";"АРБАТСК-ПОКРОВСК"
185;"Молодёжная-В";"Молодёжная";"АРБАТСК-ПОКРОВСК"
187;"Крылатское-З";"Крылатское";"АРБАТСК-ПОКРОВСК"
188;"Крылатское-В";"Крылатское";"АРБАТСК-ПОКРОВСК"
190;"Белорусская КСт";"Белорусская К";"КОЛЬЦЕВАЯ"
191;"Белорусская КНов";"Белорусская К";"КОЛЬЦЕВАЯ"
193;"Новослободская ";"Новослободская";"КОЛЬЦЕВАЯ"
2410;"Менделеев. кассы";"Новослободская";"КОЛЬЦЕВАЯ"
